index,file_path,true_class,predicted_class,predicted_confidence,secondary_class,secondary_confidence,confidence_band,rules_fired,if_then_reasoning,recommendation
10,data/raw/test\Bacterial Pneumonia\197.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5923,Viral Pneumonia,0.3908,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
11,data/raw/test\Bacterial Pneumonia\20.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7148,Bacterial Pneumonia,0.2657,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
12,data/raw/test\Bacterial Pneumonia\202.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6701,Viral Pneumonia,0.3233,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
13,data/raw/test\Bacterial Pneumonia\210.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5986,Bacterial Pneumonia,0.3944,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
14,data/raw/test\Bacterial Pneumonia\211.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7519,Bacterial Pneumonia,0.2073,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
15,data/raw/test\Bacterial Pneumonia\216.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5755,Viral Pneumonia,0.3914,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
16,data/raw/test\Bacterial Pneumonia\217.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.8507,Normal,0.1094,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
17,data/raw/test\Bacterial Pneumonia\230.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.549,Bacterial Pneumonia,0.3676,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
18,data/raw/test\Bacterial Pneumonia\245.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7982,Viral Pneumonia,0.2016,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
19,data/raw/test\Bacterial Pneumonia\250.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6923,Viral Pneumonia,0.3062,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
20,data/raw/test\Bacterial Pneumonia\252.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6001,Viral Pneumonia,0.3941,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
21,data/raw/test\Bacterial Pneumonia\253.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7764,Viral Pneumonia,0.2193,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
22,data/raw/test\Bacterial Pneumonia\261.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6077,Normal,0.3051,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Normal as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Normal. Recommend clinical correlation and targeted follow-up review.
23,data/raw/test\Bacterial Pneumonia\271.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6644,Bacterial Pneumonia,0.1754,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
24,data/raw/test\Bacterial Pneumonia\272.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7998,Normal,0.111,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Normal as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Normal. Recommend clinical correlation and targeted follow-up review.
25,data/raw/test\Bacterial Pneumonia\29.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8906,Viral Pneumonia,0.0983,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
26,data/raw/test\Bacterial Pneumonia\296.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7323,Normal,0.199,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Normal as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Normal. Recommend clinical correlation and targeted follow-up review.
27,data/raw/test\Bacterial Pneumonia\297.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.8402,Normal,0.1275,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Viral Pneumonia as primary diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Prediction strongly supports Viral Pneumonia. Continue with disease-specific confirmatory protocol.
28,data/raw/test\Bacterial Pneumonia\298.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7298,Bacterial Pneumonia,0.1441,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
29,data/raw/test\Bacterial Pneumonia\3.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7322,Viral Pneumonia,0.2651,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
30,data/raw/test\Bacterial Pneumonia\306.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7058,Viral Pneumonia,0.2923,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
31,data/raw/test\Bacterial Pneumonia\31.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6089,Normal,0.2401,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Normal as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Normal. Recommend clinical correlation and targeted follow-up review.
32,data/raw/test\Bacterial Pneumonia\325.jpeg,Bacterial Pneumonia,Normal,0.5339,Viral Pneumonia,0.2961,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
33,data/raw/test\Bacterial Pneumonia\336.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.7917,Bacterial Pneumonia,0.1657,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Bacterial Pneumonia as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Bacterial Pneumonia. Recommend clinical correlation and targeted follow-up review.
34,data/raw/test\Bacterial Pneumonia\339.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.7366,Viral Pneumonia,0.2609,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
35,data/raw/test\Bacterial Pneumonia\354.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.6994,Normal,0.1668,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Viral Pneumonia as primary with Normal as differential diagnosis. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Primary diagnosis is Viral Pneumonia with differential Normal. Recommend clinical correlation and targeted follow-up review.
36,data/raw/test\Bacterial Pneumonia\41.jpeg,Bacterial Pneumonia,Normal,0.8129,Viral Pneumonia,0.1166,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Normal as primary diagnosis. || IF predicted class is Normal THEN supporting reason: model found no dominant pathological class above normal baseline. || IF predicted class is Normal THEN supporting reason: normal class probability is highest among all classes.,Prediction strongly supports Normal. Continue with disease-specific confirmatory protocol.
37,data/raw/test\Bacterial Pneumonia\410.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5194,Viral Pneumonia,0.4287,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
38,data/raw/test\Bacterial Pneumonia\414.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.5396,Viral Pneumonia,0.4522,low,low_confidence_needs_manual_review | ambiguous_top2_overlap,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Bacterial Pneumonia vs Viral Pneumonia); treat as uncertain differential.
39,data/raw/test\Bacterial Pneumonia\421.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.796,Viral Pneumonia,0.2036,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
40,data/raw/test\Bacterial Pneumonia\426.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5008,Bacterial Pneumonia,0.3255,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
41,data/raw/test\Bacterial Pneumonia\436.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.4935,Bacterial Pneumonia,0.3173,low,low_confidence_needs_manual_review | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
42,data/raw/test\Bacterial Pneumonia\439.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.5398,Bacterial Pneumonia,0.2319,low,low_confidence_needs_manual_review,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests.
43,data/raw/test\Bacterial Pneumonia\446.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.781,Viral Pneumonia,0.2136,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
44,data/raw/test\Bacterial Pneumonia\474.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.8231,Viral Pneumonia,0.1757,high,high_confidence_primary_diagnosis,IF max probability >= high_confidence AND (top1 - top2) >= ambiguity_margin THEN accept Bacterial Pneumonia as primary diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Prediction strongly supports Bacterial Pneumonia. Continue with disease-specific confirmatory protocol.
45,data/raw/test\Bacterial Pneumonia\493.jpeg,Bacterial Pneumonia,Viral Pneumonia,0.4525,Bacterial Pneumonia,0.3546,low,low_confidence_needs_manual_review | ambiguous_top2_overlap | safety_alert_low_max_probability,IF max probability < medium_confidence THEN mark prediction as low-confidence and escalate to expert review. || IF (top1 - top2) < ambiguity_margin THEN treat case as ambiguous and report top-2 differential. || IF max probability < low_confidence_alert THEN trigger safety alert and require manual confirmation. || IF predicted class is Viral Pneumonia THEN supporting reason: model pattern suggests diffuse bilateral involvement that is often associated with viral infection. || IF predicted class is Viral Pneumonia THEN supporting reason: viral class remains stronger than other pneumonia subclasses.,Low-confidence prediction. Escalate to radiologist review and consider additional tests. Top-2 classes are close (Viral Pneumonia vs Bacterial Pneumonia); treat as uncertain differential.
46,data/raw/test\Bacterial Pneumonia\502.jpeg,Bacterial Pneumonia,Bacterial Pneumonia,0.6643,Viral Pneumonia,0.3351,medium,moderate_confidence_with_differential,IF max probability >= medium_confidence AND < high_confidence THEN set Bacterial Pneumonia as primary with Viral Pneumonia as differential diagnosis. || IF predicted class is Bacterial Pneumonia THEN supporting reason: model pattern suggests focal air-space opacity that is commonly associated with bacterial consolidation. || IF predicted class is Bacterial Pneumonia THEN supporting reason: high bacterial class probability compared with other classes.,Primary diagnosis is Bacterial Pneumonia with differential Viral Pneumonia. Recommend clinical correlation and targeted follow-up review.
